Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Indiana,07/01/2020,2,1.6,114,84073,2.4,1.9,135.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Huntingdon,03/08/2021,75,27,4388,45144,166.1,59.8,9720,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Indiana,07/27/2020,11,6.9,234,84073,13.1,8.2,278.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Philadelphia,12/06/2020,763,1060.3,70151,1584064,48.2,66.9,4428.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Forest,03/30/2021,2,0.7,1395,7247,27.6,9.9,19249.3,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Perry,05/24/2020,0,1.3,48,46272,0,2.8,103.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Centre,03/05/2020,0,,0,162385,0,,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Perry,05/16/2020,0,0.6,39,46272,0,1.2,84.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Pennsylvania,02/25/2021,3357,2469.9,927281,12801989,26.2,19.3,7243.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Wyoming,05/23/2020,0,0.6,35,26794,0,2.1,130.6,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Juniata,04/29/2021,4,5,2066,24763,16.2,20.2,8343.1,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Wyoming,05/11/2020,1,0.3,29,26794,3.7,1.1,108.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Indiana,06/27/2020,1,0.4,104,84073,1.2,0.5,123.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,05/30/2020,0,0.7,58,44923,0,1.6,129.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,07/08/2020,0,0.6,100,44923,0,1.3,222.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Indiana,05/24/2020,0,0.6,90,84073,0,0.7,107,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,03/20/2021,9,8.3,5346,44923,20,18.4,11900.4,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,06/07/2020,1,2.3,74,44923,2.2,5.1,164.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,09/14/2020,3,3.6,440,44923,6.7,8,979.5,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,09/11/2020,3,4,595,113299,2.6,3.5,525.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Philadelphia,12/21/2020,940,742.1,83393,1584064,59.3,46.9,5264.5,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Carbon,04/30/2021,17,18.3,6091,64182,26.5,28.5,9490.2,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Lancaster,10/11/2020,46,55.9,8632,545724,8.4,10.2,1581.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lycoming,03/16/2021,20,22.6,9766,113299,17.7,19.9,8619.7,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Mercer,03/02/2021,4,13.7,8132,109424,3.7,12.5,7431.6,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lebanon,11/20/2020,96,80.6,4588,141793,67.7,56.8,3235.7,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Berks,03/06/2021,58,101.9,36353,421164,13.8,24.2,8631.6,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Cambria,11/28/2020,110,173.3,4449,130192,84.5,133.1,3417.3,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Union,11/21/2020,73,44.7,1346,44923,162.5,99.5,2996.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Northumberland,08/05/2020,8,4.4,444,90843,8.8,4.9,488.8,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lycoming,09/25/2020,11,7.1,688,113299,9.7,6.3,607.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Mercer,03/28/2021,13,11.4,8502,109424,11.9,10.4,7769.8,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lycoming,02/14/2021,36,44.3,8940,113299,31.8,39.1,7890.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Union,06/14/2020,1,1.6,85,44923,2.2,3.5,189.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Clearfield,04/04/2021,14,37.6,7384,79255,17.7,47.4,9316.8,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Northampton,02/26/2021,79,93.1,26806,305285,25.9,30.5,8780.6,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lehigh,03/05/2021,79,74.9,31307,369318,21.4,20.3,8477,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Union,01/17/2021,5,34.1,3551,44923,11.1,76,7904.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Pennsylvania,01/08/2021,9650,8095.9,716238,12801989,75.4,63.2,5594.7,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Union,11/14/2020,24,27.4,1033,44923,53.4,61.1,2299.5,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Schuylkill,04/18/2021,9,41.6,13637,141359,6.4,29.4,9647.1,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Dauphin,04/02/2021,98,72.9,22629,278299,35.2,26.2,8131.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Jefferson,04/22/2021,8,5.9,3177,43425,18.4,13.5,7316.1,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Lycoming,11/21/2020,63,55.4,1753,113299,55.6,48.9,1547.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lehigh,11/21/2020,217,184.9,9982,369318,58.8,50.1,2702.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lebanon,01/19/2021,112,87.3,11013,141793,79,61.6,7767,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lackawanna,02/20/2021,32,48.6,13679,209674,15.3,23.2,6523.9,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Erie,12/25/2020,154,198.7,11170,269728,57.1,73.7,4141.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Lycoming,01/24/2021,45,55.1,7885,113299,39.7,48.7,6959.5,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Northumberland,09/03/2020,6,11.7,758,90843,6.6,12.9,834.4,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Huntingdon,05/02/2021,4,10.9,4921,45144,8.9,24.1,10900.7,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Pennsylvania,10/17/2020,1283,1437.9,183688,12801989,10,11.2,1434.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Union,08/22/2020,4,8.9,359,44923,8.9,19.7,799.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lycoming,11/15/2020,5,32.6,1370,113299,4.4,28.7,1209.2,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Union,04/10/2021,15,14,5580,44923,33.4,31.2,12421.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lehigh,12/18/2020,312,302.9,17169,369318,84.5,82,4648.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lehigh,01/17/2021,124,249.6,25675,369318,33.6,67.6,6952,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Union,12/13/2020,27,35,2166,44923,60.1,77.9,4821.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
